"GeneID" "Cluster" "Name"
"310" "YBR056W-A" "insignificant" ""
"311" "YBR057C" "insignificant" "MUM2"
"312" "YBR058C" "insignificant" "UBP14"
"313" "YBR058C-A" "insignificant" "TSC3"
"314" "YBR059C" "insignificant" "AKL1"
"315" "YBR060C" "insignificant" "ORC2"
"316" "YBR061C" "insignificant" "TRM7"
"317" "YBR062C" "insignificant" ""
"318" "YBR063C" "insignificant" ""
"319" "YBR065C" "insignificant" "ECM2"
"320" "YBR066C" "insignificant" "NRG2"
"321" "YBR067C" "insignificant" "TIP1"
"322" "YBR068C" "insignificant" "BAP2"
"323" "YBR069C" "insignificant" "TAT1"
"324" "YBR070C" "insignificant" "ALG14"
"325" "YBR071W" "insignificant" ""
"326" "YBR072C-A" "insignificant" ""
"327" "YBR072W" "insignificant" "HSP26"
"328" "YBR073W" "insignificant" "RDH54"
"329" "YBR074W" "cluster4" "PFF1"
"330" "YBR076C-A" "insignificant" ""
"331" "YBR076W" "insignificant" "ECM8"
"332" "YBR077C" "insignificant" "SLM4"
"333" "YBR078W" "insignificant" "ECM33"
"334" "YBR079C" "insignificant" "RPG1"
"335" "YBR080C" "insignificant" "SEC18"
"336" "YBR081C" "insignificant" "SPT7"
"337" "YBR082C" "insignificant" "UBC4"
"338" "YBR083W" "insignificant" "TEC1"
"339" "YBR084C-A" "insignificant" "RPL19A"
"340" "YBR084W" "insignificant" "MIS1"
"341" "YBR085C-A" "insignificant" ""
"342" "YBR085W" "insignificant" "AAC3"
"343" "YBR086C" "insignificant" "IST2"
"344" "YBR087W" "insignificant" "RFC5"
"345" "YBR088C" "insignificant" "POL30"
"346" "YBR089C-A" "insignificant" "NHP6B"
"347" "YBR089W" "insignificant" ""
"348" "YBR090C" "insignificant" ""
"349" "YBR091C" "insignificant" "TIM12"
"350" "YBR092C" "insignificant" "PHO3"
"351" "YBR093C" "insignificant" "PHO5"
"352" "YBR094W" "insignificant" "PBY1"
"353" "YBR095C" "insignificant" "RXT2"
"354" "YBR096W" "insignificant" ""
"355" "YBR097W" "insignificant" "VPS15"
"356" "YBR098W" "insignificant" "MMS4"
"357" "YBR099C" "insignificant" ""
"358" "YBR101C" "insignificant" "FES1"
"359" "YBR102C" "insignificant" "EXO84"
"360" "YBR103C-A" "insignificant" ""
"361" "YBR103W" "insignificant" "SIF2"
"362" "YBR104W" "insignificant" "YMC2"
"363" "YBR105C" "insignificant" "VID24"
"364" "YBR106W" "insignificant" "PHO88"
"365" "YBR107C" "insignificant" "IML3"
"366" "YBR108W" "insignificant" "AIM3"
"367" "YBR109C" "insignificant" "CMD1"
"368" "YBR109W-A" "insignificant" ""
"369" "YBR110W" "insignificant" "ALG1"
