"GeneID" "Cluster" "Name"
"268" "YBR016W" "cluster3" ""
"269" "YBR017C" "insignificant" "KAP104"
"270" "YBR018C" "cluster8" "GAL7"
"271" "YBR019C" "insignificant" "GAL10"
"272" "YBR020W" "insignificant" "GAL1"
"273" "YBR021W" "cluster4" "FUR4"
"274" "YBR022W" "insignificant" "POA1"
"275" "YBR023C" "cluster1" "CHS3"
"276" "YBR024W" "cluster3" "SCO2"
"277" "YBR025C" "insignificant" "OLA1"
"278" "YBR026C" "cluster3" "ETR1"
"279" "YBR027C" "insignificant" ""
"280" "YBR028C" "insignificant" "YPK3"
"281" "YBR029C" "insignificant" "CDS1"
"282" "YBR030W" "insignificant" "RKM3"
"283" "YBR031W" "cluster7" "RPL4A"
"284" "YBR032W" "insignificant" ""
"285" "YBR033W" "cluster3" "EDS1"
"286" "YBR034C" "cluster6" "HMT1"
"287" "YBR035C" "cluster2" "PDX3"
"288" "YBR036C" "insignificant" "CSG2"
"289" "YBR037C" "cluster3" "SCO1"
"290" "YBR038W" "cluster4" "CHS2"
"291" "YBR039W" "insignificant" "ATP3"
"292" "YBR040W" "cluster12" "FIG1"
"293" "YBR041W" "insignificant" "FAT1"
"294" "YBR042C" "insignificant" "CST26"
"295" "YBR043C" "insignificant" "QDR3"
"296" "YBR044C" "insignificant" "TCM62"
"297" "YBR045C" "insignificant" "GIP1"
"298" "YBR046C" "cluster8" "ZTA1"
"299" "YBR047W" "cluster9" "FMP23"
"300" "YBR048W" "cluster7" "RPS11B"
"301" "YBR049C" "cluster1" "REB1"
"302" "YBR050C" "insignificant" "REG2"
"303" "YBR051W" "insignificant" ""
"304" "YBR052C" "cluster3" "RFS1"
"305" "YBR053C" "insignificant" ""
"306" "YBR054W" "insignificant" "YRO2"
"307" "YBR055C" "insignificant" "PRP6"
"308" "YBR056C-B" "insignificant" ""
"309" "YBR056W" "insignificant" ""
"310" "YBR056W-A" "cluster11" ""
"311" "YBR057C" "cluster1" "MUM2"
"312" "YBR058C" "insignificant" "UBP14"
"313" "YBR058C-A" "insignificant" "TSC3"
"314" "YBR059C" "insignificant" "AKL1"
"315" "YBR060C" "cluster1" "ORC2"
"316" "YBR061C" "cluster5" "TRM7"
"317" "YBR062C" "cluster3" ""
"318" "YBR063C" "insignificant" ""
"319" "YBR065C" "insignificant" "ECM2"
"320" "YBR066C" "cluster4" "NRG2"
"321" "YBR067C" "cluster11" "TIP1"
"322" "YBR068C" "insignificant" "BAP2"
"323" "YBR069C" "insignificant" "TAT1"
"324" "YBR070C" "cluster2" "ALG14"
"325" "YBR071W" "cluster3" ""
"326" "YBR072C-A" "insignificant" ""
"327" "YBR072W" "cluster11" "HSP26"
"328" "YBR073W" "insignificant" "RDH54"
"329" "YBR074W" "cluster1" "PFF1"
"330" "YBR076C-A" "insignificant" ""
"331" "YBR076W" "insignificant" "ECM8"
"332" "YBR077C" "insignificant" "SLM4"
"333" "YBR078W" "insignificant" "ECM33"
"334" "YBR079C" "cluster5" "RPG1"
"335" "YBR080C" "insignificant" "SEC18"
"336" "YBR081C" "cluster1" "SPT7"
"337" "YBR082C" "cluster2" "UBC4"
"338" "YBR083W" "cluster2" "TEC1"
"339" "YBR084C-A" "cluster7" "RPL19A"
"340" "YBR084W" "cluster7" "MIS1"
"341" "YBR085C-A" "cluster8" ""
"342" "YBR085W" "insignificant" "AAC3"
"343" "YBR086C" "insignificant" "IST2"
"344" "YBR087W" "insignificant" "RFC5"
"345" "YBR088C" "cluster4" "POL30"
"346" "YBR089C-A" "cluster3" "NHP6B"
"347" "YBR089W" "cluster12" ""
"348" "YBR090C" "insignificant" ""
"349" "YBR091C" "insignificant" "TIM12"
"350" "YBR092C" "cluster10" "PHO3"
"351" "YBR093C" "insignificant" "PHO5"
"352" "YBR094W" "insignificant" "PBY1"
"353" "YBR095C" "cluster1" "RXT2"
"354" "YBR096W" "cluster1" ""
"355" "YBR097W" "insignificant" "VPS15"
