"GeneID" "Cluster" "Name"
"364" "YBR106W" "cluster2" "PHO88"
"365" "YBR107C" "insignificant" "IML3"
"366" "YBR108W" "cluster6" "AIM3"
"367" "YBR109C" "insignificant" "CMD1"
"368" "YBR109W-A" "insignificant" ""
"369" "YBR110W" "insignificant" "ALG1"
"370" "YBR111C" "insignificant" "YSA1"
"371" "YBR111W-A" "cluster4" "SUS1"
"372" "YBR112C" "insignificant" "CYC8"
"373" "YBR113W" "insignificant" ""
"374" "YBR114W" "cluster6" "RAD16"
"375" "YBR115C" "cluster7" "LYS2"
"376" "YBR116C" "insignificant" ""
"377" "YBR117C" "cluster3" "TKL2"
"378" "YBR118W" "cluster8" "TEF2"
"379" "YBR119W" "cluster4" "MUD1"
"380" "YBR120C" "insignificant" "CBP6"
"381" "YBR121C" "cluster2" "GRS1"
"382" "YBR122C" "insignificant" "MRPL36"
"383" "YBR123C" "insignificant" "TFC1"
"384" "YBR124W" "insignificant" ""
"385" "YBR125C" "insignificant" "PTC4"
"386" "YBR126C" "cluster3" "TPS1"
"387" "YBR126W-A" "cluster9" "MEO1"
"388" "YBR126W-B" "insignificant" ""
"389" "YBR127C" "cluster2" "VMA2"
"390" "YBR128C" "cluster6" "ATG14"
"391" "YBR129C" "cluster4" "OPY1"
"392" "YBR130C" "insignificant" "SHE3"
"393" "YBR131C-A" "insignificant" ""
"394" "YBR131W" "insignificant" "CCZ1"
"395" "YBR132C" "cluster3" "AGP2"
"396" "YBR133C" "cluster4" "HSL7"
"397" "YBR134W" "insignificant" ""
"398" "YBR135W" "cluster4" "CKS1"
"399" "YBR136W" "insignificant" "MEC1"
"400" "YBR137W" "cluster6" ""
"401" "YBR138C" "cluster6" ""
"402" "YBR139W" "cluster6" ""
"403" "YBR140C" "cluster4" "IRA1"
"404" "YBR141C" "cluster2" "BMT2"
"405" "YBR141W-A" "insignificant" ""
"406" "YBR142W" "cluster2" "MAK5"
"407" "YBR143C" "cluster2" "SUP45"
"408" "YBR144C" "insignificant" ""
"409" "YBR145W" "cluster3" "ADH5"
"410" "YBR146W" "insignificant" "MRPS9"
"411" "YBR147W" "insignificant" "RTC2"
"412" "YBR148W" "cluster6" "YSW1"
"413" "YBR149W" "cluster6" "ARA1"
"414" "YBR150C" "insignificant" "TBS1"
"415" "YBR151W" "cluster4" "APD1"
"416" "YBR152W" "insignificant" "SPP381"
"417" "YBR153W" "cluster4" "RIB7"
"418" "YBR154C" "cluster2" "RPB5"
"419" "YBR155W" "cluster2" "CNS1"
"420" "YBR156C" "cluster4" "SLI15"
"421" "YBR157C" "cluster3" "ICS2"
"422" "YBR158W" "cluster7" "AMN1"
"423" "YBR159W" "cluster4" "IFA38"
"424" "YBR160W" "insignificant" "CDC28"
"425" "YBR161W" "cluster4" "CSH1"
"426" "YBR162C" "cluster2" "TOS1"
"427" "YBR162W-A" "cluster4" "YSY6"
"428" "YBR163W" "cluster4" "EXO5"
"429" "YBR164C" "insignificant" "ARL1"
"430" "YBR165W" "insignificant" "UBS1"
"431" "YBR166C" "cluster4" "TYR1"
"432" "YBR167C" "cluster4" "POP7"
"433" "YBR168W" "insignificant" "PEX32"
"434" "YBR169C" "insignificant" "SSE2"
"435" "YBR170C" "cluster4" "NPL4"
"436" "YBR171W" "cluster4" "SEC66"
